ticker,trade_type,direction,shares,current_weight,target_weight,trade_value_usd
SYF,buy,BUY,696,0.0,0.05,50000.0
CNC,buy,BUY,845,0.0,0.05,50000.0
INTU,buy,BUY,156,0.0,0.05,50000.0
CHTR,buy,BUY,344,0.0,0.05,50000.0
ALL,buy,BUY,230,0.0,0.05,50000.0
CMCSA,buy,BUY,1983,0.0,0.05,50000.0
UAL,buy,BUY,500,0.0,0.05,50000.0
EXE,buy,BUY,510,0.0,0.05,50000.0
EG,buy,BUY,141,0.0,0.05,50000.0
COF,buy,BUY,266,0.0,0.05,50000.0
EQT,buy,BUY,863,0.0,0.05,50000.0
NEM,buy,BUY,464,0.0,0.05,50000.0
MET,buy,BUY,594,0.0,0.05,50000.0
APA,buy,BUY,1288,0.0,0.05,50000.0
CAG,buy,BUY,3687,0.0,0.05,50000.0
LULU,buy,BUY,393,0.0,0.05,50000.0
PRU,buy,BUY,480,0.0,0.05,50000.0
KHC,buy,BUY,2101,0.0,0.05,50000.0
UHS,buy,BUY,316,0.0,0.05,50000.0
BBY,buy,BUY,486,0.0,0.03,30000.0
