ticker,direction,current_weight,target_weight,delta_weight,trade_value_usd,sector,regime,run_date
CNC,BUY,0.0146,0.05,0.0354,35673.41,Healthcare,recovery,2026-03-10
LUV,BUY,0.01,0.0159,0.006,6012.29,Industrials,recovery,2026-03-10
PSX,BUY,0.0216,0.0257,0.0041,4090.31,Energy,recovery,2026-03-10
CMS,BUY,0.049,0.05,0.001,1041.63,Utilities,recovery,2026-03-10
HAL,SELL,0.051,0.05,-0.001,-1039.63,Energy,recovery,2026-03-10
MU,SELL,0.0472,0.0416,-0.0056,-5654.51,Technology,recovery,2026-03-10
FDX,BUY,0.0214,0.0321,0.0107,10810.88,Industrials,recovery,2026-03-10
NEM,SELL,0.0407,0.023,-0.0177,-17831.77,Materials,recovery,2026-03-10
ALL,BUY,0.0054,0.0356,0.0303,30524.81,Financials,recovery,2026-03-10
UAL,BUY,0.0,0.0234,0.0234,23607.89,Industrials,recovery,2026-03-10
BF-B,BUY,0.0,0.0316,0.0316,31840.46,Consumer Staples,recovery,2026-03-10
PFG,BUY,0.0,0.039,0.039,39364.64,Financials,recovery,2026-03-10
ACGL,BUY,0.0421,0.0475,0.0055,5499.87,Financials,recovery,2026-03-10
VTRS,BUY,0.0158,0.0222,0.0064,6440.81,Healthcare,recovery,2026-03-10
CRH,BUY,0.0195,0.0274,0.0079,7921.66,Materials,recovery,2026-03-10
RL,BUY,0.0151,0.0229,0.0078,7867.76,Consumer Discretionary,recovery,2026-03-10
NI,SELL,0.0368,0.0337,-0.0031,-3144.62,Utilities,recovery,2026-03-10
CB,SELL,0.0303,0.0292,-0.0011,-1143.7,Financials,recovery,2026-03-10
SPG,BUY,0.0,0.0111,0.0111,11232.94,Real Estate,recovery,2026-03-10
KEY,BUY,0.0,0.0155,0.0155,15602.26,Financials,recovery,2026-03-10
CPB,BUY,0.0112,0.0318,0.0206,20737.06,Consumer Staples,recovery,2026-03-10
AON,BUY,0.0,0.0047,0.0047,4728.55,Financials,recovery,2026-03-10
FITB,SELL,0.0067,0.0044,-0.0022,-2236.92,Financials,recovery,2026-03-10
TGT,BUY,0.0,0.0065,0.0065,6580.58,Consumer Staples,recovery,2026-03-10
KHC,BUY,0.0237,0.027,0.0032,3233.35,Consumer Staples,recovery,2026-03-10
NSC,BUY,0.0,0.0019,0.0019,1871.43,Industrials,recovery,2026-03-10
BXP,BUY,0.0,0.0073,0.0073,7334.0,Real Estate,recovery,2026-03-10
TEL,BUY,0.0155,0.018,0.0025,2501.67,Technology,recovery,2026-03-10
DELL,SELL,0.0111,0.0043,-0.0069,-6922.57,Technology,recovery,2026-03-10
GLW,BUY,0.0,0.0068,0.0068,6872.14,Technology,recovery,2026-03-10
CF,BUY,0.0,0.0152,0.0152,15314.97,Materials,recovery,2026-03-10
GRMN,BUY,0.0,0.0061,0.0061,6184.72,Technology,recovery,2026-03-10
FIS,BUY,0.0,0.0051,0.0051,5191.27,Technology,recovery,2026-03-10
IP,SELL,0.0122,0.0,-0.0122,-12274.26,,recovery,2026-03-10
SWK,SELL,0.0133,0.0,-0.0133,-13417.53,,recovery,2026-03-10
DECK,SELL,0.0288,0.0,-0.0288,-29051.76,,recovery,2026-03-10
USB,SELL,0.0477,0.0,-0.0477,-48105.7,,recovery,2026-03-10
TPR,SELL,0.0097,0.0,-0.0097,-9785.82,,recovery,2026-03-10
PNC,SELL,0.0287,0.0,-0.0287,-28894.6,,recovery,2026-03-10
UPS,SELL,0.0218,0.0,-0.0218,-22000.56,,recovery,2026-03-10
STX,SELL,0.0091,0.0,-0.0091,-9222.96,,recovery,2026-03-10
MDT,SELL,0.0036,0.0,-0.0036,-3595.6,,recovery,2026-03-10
BK,SELL,0.0405,0.0,-0.0405,-40858.68,,recovery,2026-03-10
IEX,SELL,0.0041,0.0,-0.0041,-4111.59,,recovery,2026-03-10
HII,SELL,0.0029,0.0,-0.0029,-2922.57,,recovery,2026-03-10
MKC,SELL,0.0029,0.0,-0.0029,-2915.94,,recovery,2026-03-10
RSG,SELL,0.002,0.0,-0.002,-2011.77,,recovery,2026-03-10
ADM,SELL,0.0119,0.0,-0.0119,-12004.47,,recovery,2026-03-10
APD,SELL,0.0057,0.0,-0.0057,-5777.52,,recovery,2026-03-10
