ticker,direction,current_weight,target_weight,delta_weight,trade_value_usd,sector,regime,run_date
EXE,BUY,0.0466,0.05,0.0034,3372.58,Energy,recovery,2026-05-12
COF,BUY,0.0,0.05,0.05,50333.99,Financials,recovery,2026-05-12
DG,BUY,0.0,0.0052,0.0052,5254.53,Consumer Staples,recovery,2026-05-12
DECK,BUY,0.0,0.05,0.05,50333.99,Consumer Discretionary,recovery,2026-05-12
PRU,BUY,0.0,0.0231,0.0231,23253.06,Financials,recovery,2026-05-12
CNC,BUY,0.016,0.05,0.034,34201.67,Healthcare,recovery,2026-05-12
NEM,BUY,0.0358,0.05,0.0142,14307.3,Materials,recovery,2026-05-12
PAYX,BUY,0.0,0.05,0.05,50333.99,Industrials,recovery,2026-05-12
KHC,SELL,0.0519,0.05,-0.0019,-1897.96,Consumer Staples,recovery,2026-05-12
UNH,BUY,0.0047,0.0193,0.0146,14658.83,Healthcare,recovery,2026-05-12
ADP,BUY,0.0,0.0087,0.0087,8753.7,Industrials,recovery,2026-05-12
GDDY,SELL,0.0228,0.0113,-0.0116,-11642.18,Technology,recovery,2026-05-12
ACGL,SELL,0.0498,0.0,-0.0498,-50172.92,,recovery,2026-05-12
CRH,SELL,0.0256,0.0,-0.0256,-25731.09,,recovery,2026-05-12
KR,SELL,0.0476,0.0,-0.0476,-47883.42,,recovery,2026-05-12
NI,SELL,0.023,0.0,-0.023,-23170.29,,recovery,2026-05-12
PFG,SELL,0.0505,0.0,-0.0505,-50823.36,,recovery,2026-05-12
VZ,SELL,0.0089,0.0,-0.0089,-8914.98,,recovery,2026-05-12
SYF,SELL,0.0468,0.0,-0.0468,-47108.6,,recovery,2026-05-12
DLTR,SELL,0.0187,0.0,-0.0187,-18789.55,,recovery,2026-05-12
LULU,SELL,0.018,0.0,-0.018,-18143.85,,recovery,2026-05-12
BBY,SELL,0.0141,0.0,-0.0141,-14242.8,,recovery,2026-05-12
CTVA,SELL,0.0366,0.0,-0.0366,-36844.06,,recovery,2026-05-12
WTW,SELL,0.0152,0.0,-0.0152,-15337.84,,recovery,2026-05-12
ADBE,SELL,0.0089,0.0,-0.0089,-8910.71,,recovery,2026-05-12
PEG,SELL,0.0499,0.0,-0.0499,-50238.18,,recovery,2026-05-12
DUK,SELL,0.0183,0.0,-0.0183,-18385.29,,recovery,2026-05-12
EA,SELL,0.0264,0.0,-0.0264,-26625.27,,recovery,2026-05-12
