ticker,trade_type,direction,shares,current_weight,target_weight,trade_value_usd
CMCSA,buy,BUY,1879,0.0,0.05,50726.99
SYF,buy,BUY,666,0.0,0.05,50726.99
EQT,buy,BUY,205,0.0378,0.05,12365.0
ACGL,buy,BUY,21,0.048,0.05,2020.37
DLTR,buy,BUY,196,0.0,0.0187,18969.97
PFG,sell,SELL,56,0.0556,0.05,-5687.41
BBY,buy,BUY,227,0.0,0.0135,13657.83
MET,sell,SELL,21,0.0517,0.05,-1684.57
TPR,buy,BUY,94,0.0,0.0134,13591.92
NEM,buy,BUY,191,0.0,0.0208,21148.8
LULU,buy,BUY,153,0.0,0.0211,21410.26
FCX,buy,BUY,430,0.0,0.0244,24727.92
WTW,buy,BUY,83,0.0,0.0205,20795.86
KHC,sell,SELL,65,0.0515,0.05,-1486.61
CTVA,buy,BUY,172,0.0,0.0138,13955.88
GDDY,buy,BUY,57,0.0,0.0048,4907.9
BR,buy,BUY,180,0.0,0.0276,27964.08
MCK,buy,BUY,30,0.0,0.0239,24297.86
