ticker,direction,current_weight,target_weight,delta_weight,trade_value_usd,sector,regime,run_date
CNC,BUY,0.0141,0.05,0.0359,35911.35,Healthcare,recovery,2026-03-13
CPB,BUY,0.0101,0.0492,0.039,39008.74,Consumer Staples,recovery,2026-03-13
LUV,BUY,0.0091,0.0107,0.0016,1624.88,Industrials,recovery,2026-03-13
MU,SELL,0.05,0.0398,-0.0103,-10266.03,Technology,recovery,2026-03-13
PFG,BUY,0.0,0.0486,0.0486,48539.08,Financials,recovery,2026-03-13
ALL,BUY,0.0054,0.036,0.0307,30625.01,Financials,recovery,2026-03-13
KHC,BUY,0.0229,0.0425,0.0196,19583.98,Consumer Staples,recovery,2026-03-13
SWK,SELL,0.0127,0.0036,-0.0092,-9146.77,Industrials,recovery,2026-03-13
TGT,BUY,0.0,0.0264,0.0264,26387.73,Consumer Staples,recovery,2026-03-13
ACGL,BUY,0.0415,0.0456,0.0041,4051.65,Financials,recovery,2026-03-13
BF-B,BUY,0.0,0.0018,0.0018,1772.0,Consumer Staples,recovery,2026-03-13
AON,BUY,0.0,0.0038,0.0038,3768.83,Financials,recovery,2026-03-13
BBY,BUY,0.0,0.0011,0.0011,1062.19,Consumer Discretionary,recovery,2026-03-13
DRI,SELL,0.0305,0.0293,-0.0012,-1184.13,Consumer Discretionary,recovery,2026-03-13
UAL,BUY,0.0,0.0022,0.0022,2213.82,Industrials,recovery,2026-03-13
NI,SELL,0.038,0.0354,-0.0026,-2562.52,Utilities,recovery,2026-03-13
KEY,BUY,0.0,0.017,0.017,16936.47,Financials,recovery,2026-03-13
DECK,SELL,0.0281,0.0016,-0.0265,-26444.8,Consumer Discretionary,recovery,2026-03-13
KKR,BUY,0.0,0.006,0.006,5979.99,Financials,recovery,2026-03-13
BA,BUY,0.0,0.0153,0.0153,15334.83,Industrials,recovery,2026-03-13
CFG,BUY,0.0,0.0012,0.0012,1223.75,Financials,recovery,2026-03-13
NSC,BUY,0.0,0.0127,0.0127,12737.0,Industrials,recovery,2026-03-13
CB,SELL,0.0311,0.0137,-0.0174,-17430.12,Financials,recovery,2026-03-13
BR,BUY,0.0314,0.0402,0.0088,8835.78,Technology,recovery,2026-03-13
GDDY,BUY,0.0,0.0075,0.0075,7541.53,Technology,recovery,2026-03-13
TRMB,BUY,0.0,0.0047,0.0047,4733.52,Technology,recovery,2026-03-13
CVNA,BUY,0.0,0.0062,0.0062,6148.07,Consumer Discretionary,recovery,2026-03-13
FIS,BUY,0.0,0.0065,0.0065,6448.06,Technology,recovery,2026-03-13
APD,SELL,0.0061,0.0012,-0.005,-4953.88,Materials,recovery,2026-03-13
CF,BUY,0.0,0.015,0.015,14950.58,Materials,recovery,2026-03-13
IP,SELL,0.0118,0.0,-0.0118,-11796.98,,recovery,2026-03-13
USB,SELL,0.048,0.0,-0.048,-47994.58,,recovery,2026-03-13
TPR,SELL,0.0095,0.0,-0.0095,-9470.34,,recovery,2026-03-13
PNC,SELL,0.0286,0.0,-0.0286,-28602.0,,recovery,2026-03-13
UPS,SELL,0.0213,0.0,-0.0213,-21237.56,,recovery,2026-03-13
STX,SELL,0.0094,0.0,-0.0094,-9351.36,,recovery,2026-03-13
MDT,SELL,0.0035,0.0,-0.0035,-3502.8,,recovery,2026-03-13
BK,SELL,0.0417,0.0,-0.0417,-41676.42,,recovery,2026-03-13
IEX,SELL,0.0039,0.0,-0.0039,-3911.04,,recovery,2026-03-13
HII,SELL,0.0029,0.0,-0.0029,-2873.11,,recovery,2026-03-13
MKC,SELL,0.0027,0.0,-0.0027,-2672.6,,recovery,2026-03-13
RSG,SELL,0.002,0.0,-0.002,-2027.84,,recovery,2026-03-13
DELL,SELL,0.0119,0.0,-0.0119,-11866.92,,recovery,2026-03-13
ADM,SELL,0.0125,0.0,-0.0125,-12506.29,,recovery,2026-03-13
