ticker,trade_type,direction,shares,current_weight,target_weight,trade_value_usd
PFG,buy,BUY,37,0.0466,0.05,3472.62
DLTR,buy,BUY,269,-0.0109,0.0157,27065.51
BBY,buy,BUY,421,0.0,0.0251,25467.15
MET,buy,BUY,36,0.0474,0.05,2665.57
DG,buy,BUY,189,0.0014,0.0232,22172.11
GDDY,buy,BUY,276,0.0174,0.039,22036.39
APA,buy,BUY,556,0.0,0.0215,21851.05
ACGL,buy,BUY,182,0.0264,0.0438,17643.48
KHC,buy,BUY,83,0.0456,0.0474,1856.44
T,buy,BUY,178,0.0454,0.05,4636.28
ADBE,buy,BUY,194,-0.0168,0.0273,44830.23
KR,buy,BUY,474,0.0133,0.0451,32356.43
BR,buy,BUY,170,0.0,0.0257,26104.97
VZ,buy,BUY,60,0.0109,0.0136,2749.98
MU,buy,BUY,5,0.0191,0.0212,2206.1
