ticker,direction,current_weight,target_weight,delta_weight,trade_value_usd,sector,regime,run_date
CNC,BUY,0.0,0.0226,0.0226,22771.98,Healthcare,recovery,2026-03-17
NEM,BUY,0.0,0.0366,0.0366,36837.53,Materials,recovery,2026-03-17
T,BUY,0.0497,0.052,0.0023,2343.74,Communication Services,recovery,2026-03-17
HAL,BUY,0.0,0.0301,0.0301,30312.76,Energy,recovery,2026-03-17
DLTR,BUY,0.0,0.0129,0.0129,13018.03,Consumer Staples,recovery,2026-03-17
ABBV,BUY,0.0485,0.052,0.0036,3575.62,Healthcare,recovery,2026-03-17
CMS,BUY,0.0502,0.052,0.0018,1787.0,Utilities,recovery,2026-03-17
TRV,BUY,0.0502,0.052,0.0018,1817.89,Financials,recovery,2026-03-17
MU,SELL,0.0541,0.02,-0.0342,-34389.59,Technology,recovery,2026-03-17
BF-B,BUY,0.0,0.0011,0.0011,1070.63,Consumer Staples,recovery,2026-03-17
DG,BUY,0.0,0.0268,0.0268,27025.04,Consumer Staples,recovery,2026-03-17
ACGL,SELL,0.0413,0.0355,-0.0059,-5920.48,Financials,recovery,2026-03-17
TAP,BUY,0.0,0.04,0.04,40238.35,Consumer Staples,recovery,2026-03-17
NI,BUY,0.0374,0.0484,0.011,11112.34,Utilities,recovery,2026-03-17
VTRS,SELL,0.0155,0.0123,-0.0032,-3236.18,Healthcare,recovery,2026-03-17
KEY,BUY,0.0,0.0109,0.0109,10985.42,Financials,recovery,2026-03-17
DRI,BUY,0.0306,0.0318,0.0012,1231.99,Consumer Discretionary,recovery,2026-03-17
ULTA,BUY,0.0,0.008,0.008,8047.08,Consumer Discretionary,recovery,2026-03-17
KHC,BUY,0.0,0.0316,0.0316,31866.85,Consumer Staples,recovery,2026-03-17
FITB,BUY,0.0,0.0018,0.0018,1802.64,Financials,recovery,2026-03-17
VZ,BUY,0.0,0.0123,0.0123,12427.14,Communication Services,recovery,2026-03-17
STX,SELL,0.01,0.0089,-0.0012,-1170.29,Technology,recovery,2026-03-17
HCA,BUY,0.0,0.0153,0.0153,15381.07,Healthcare,recovery,2026-03-17
NSC,BUY,0.0,0.0101,0.0101,10139.65,Industrials,recovery,2026-03-17
ADBE,BUY,0.0,0.039,0.039,39272.89,Technology,recovery,2026-03-17
NOC,BUY,0.0,0.0279,0.0279,28055.64,Industrials,recovery,2026-03-17
UPS,SELL,0.0212,0.0107,-0.0105,-10585.9,Industrials,recovery,2026-03-17
KR,BUY,0.0,0.014,0.014,14095.5,Consumer Staples,recovery,2026-03-17
APD,SELL,0.006,0.0016,-0.0044,-4422.58,Materials,recovery,2026-03-17
EME,BUY,0.0,0.0157,0.0157,15760.26,Industrials,recovery,2026-03-17
GDDY,BUY,0.0,0.0187,0.0187,18810.04,Technology,recovery,2026-03-17
ROST,BUY,0.0,0.0026,0.0026,2640.3,Consumer Discretionary,recovery,2026-03-17
XYZ,BUY,0.0,0.0071,0.0071,7153.79,Technology,recovery,2026-03-17
TTD,BUY,0.0,0.004,0.004,4034.02,Technology,recovery,2026-03-17
BK,SELL,0.0408,0.0157,-0.0251,-25309.91,Financials,recovery,2026-03-17
SMCI,BUY,0.0,0.0057,0.0057,5783.46,Technology,recovery,2026-03-17
IP,SELL,0.0117,0.0,-0.0117,-11740.46,,recovery,2026-03-17
SWK,SELL,0.0128,0.0,-0.0128,-12856.43,,recovery,2026-03-17
DECK,SELL,0.0287,0.0,-0.0287,-28899.96,,recovery,2026-03-17
PNC,SELL,0.0284,0.0,-0.0284,-28548.8,,recovery,2026-03-17
MDT,SELL,0.0035,0.0,-0.0035,-3537.6,,recovery,2026-03-17
IEX,SELL,0.004,0.0,-0.004,-3998.19,,recovery,2026-03-17
HII,SELL,0.0029,0.0,-0.0029,-2960.58,,recovery,2026-03-17
RSG,SELL,0.002,0.0,-0.002,-2022.93,,recovery,2026-03-17
DELL,SELL,0.0119,0.0,-0.0119,-11934.78,,recovery,2026-03-17
ADM,SELL,0.0124,0.0,-0.0124,-12476.76,,recovery,2026-03-17
