ticker,trade_type,shares,direction,current_weight,target_weight,delta_weight,trade_value_usd,close,sector,regime,run_date
CNC,sell,1051,SELL,0.0555,0.0171,-0.0384,-36572.31,34.79,Healthcare,recovery,2026-04-02
PFG,buy,529,BUY,0.0,0.05,0.05,47681.55,89.98,Financials,recovery,2026-04-02
MET,sell,47,SELL,0.0535,0.05,-0.0035,-3320.53,70.64,Financials,recovery,2026-04-02
ARE,buy,742,BUY,0.0,0.0331,0.0331,31599.06,42.53,Real Estate,recovery,2026-04-02
APTV,buy,526,BUY,0.0,0.0335,0.0335,31969.94,60.765,Consumer Discretionary,recovery,2026-04-02
DG,buy,217,BUY,0.0118,0.0389,0.0271,25828.21,118.65,Consumer Staples,recovery,2026-04-02
EQT,buy,535,BUY,0.0,0.0338,0.0338,32241.14,60.21,Energy,recovery,2026-04-02
DECK,sell,142,SELL,0.0299,0.015,-0.0149,-14182.71,99.7,Consumer Discretionary,recovery,2026-04-02
CMCSA,buy,658,BUY,0.0,0.0193,0.0193,18387.18,27.915,Communication Services,recovery,2026-04-02
DLTR,buy,9,BUY,0.0114,0.0125,0.0011,1039.85,108.06,Consumer Staples,recovery,2026-04-02
TPR,sell,15,SELL,0.0233,0.021,-0.0024,-2249.9,142.56,Consumer Discretionary,recovery,2026-04-02
GDDY,buy,34,BUY,0.0315,0.0345,0.003,2861.49,82.51,Technology,recovery,2026-04-02
TRV,buy,10,BUY,0.0342,0.0374,0.0033,3103.95,293.5,Financials,recovery,2026-04-02
MU,buy,47,BUY,0.0,0.0181,0.0181,17275.45,361.85001,Technology,recovery,2026-04-02
ABBV,sell,7,SELL,0.0516,0.05,-0.0016,-1531.33,211.2141,Healthcare,recovery,2026-04-02
ACGL,sell,186,SELL,0.046,0.0271,-0.0189,-18019.19,96.71,Financials,recovery,2026-04-02
IBKR,buy,21,BUY,0.003,0.0045,0.0015,1453.64,68.05,Financials,recovery,2026-04-02
LULU,sell,182,SELL,0.0504,0.0204,-0.03,-28590.08,156.63,Consumer Discretionary,recovery,2026-04-02
